NerdFlare25-BOM
Reference,Value,Datasheet,Footprint,Qty,Supplier and Ref,Price (@ 50),Cost,Notes
"BT1,BT2",AA,https://www.keyelco.com/userAssets/file/M65p28.pdf,nerdflare25:BatteryHolder_Keystone_2460_1xAA_SAO,2,https://www.digikey.com/en/products/detail/keystone-electronics/2460/280629,$1.11,$2.22,This has a huge lead time at DigiKey; suggested replacement requires different footprint
"D4,D5,D6,D7,D8,D9,D10",Red LED,https://www.we-online.com/components/products/datasheet/155124BS73200.pdf,nerdflare25:Wurth WL-SMSW Series SMT Mono-color Side view LED,7,https://www.digikey.com/en/products/detail/würth-elektronik/155124RS73200/4490041,$0.17,$1.18,
"D1,D2,D3",Yellow LED,,,3,,,,
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10",65R,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF1206ZT0R00/1756906,$0.01,$0.10,
,,,,,,,,
R11,100R,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,,$0.01,$0.01,
Raspberry_Pi_Pico_2_W?,SC0918,https://datasheets.raspberrypi.com/picow/pico-2-w-datasheet.pdf,nerdflare25:RPi_Pico_SMD_SAO,1,https://www.digikey.com/en/products/detail/raspberry-pi/SC0918/16608263?s=N4IgTCBcDaIMoGEAMBOAjADhAXQL5A,$6.00,$6.00,
SW1,SW_Push,~,nerdflare25:SW_SPST_PTS645_SAO,1,https://www.digikey.com/en/products/detail/c-k/PTS645SM43SMTR92-LFS/1146840,$0.25,$0.25,
SW2,SW_SPDT,~,Button_Switch_SMD:SW_SPDT_PCM12,1,https://www.digikey.com/en/products/detail/c-k/PCM12SMTR/1640112,$0.90,$0.90,These are currently out of stock at DigiKey and require 10 weeks of lead.
T1,DMG2305,https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf,nerdflare25:SOT-23_SAO,1,https://www.digikey.com/en/products/detail/diodes-incorporated/DMG2305UX-7/4340667,$0.14,$0.14,
Total,,,,,,,$10.80,
